City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,levuka,50.1834,-105.4011,25.9,33,9,4.75,CA,1690135874
209,wonosobo,-7.36,109.9025,18.26,93,81,0.5,ID,1690135874
210,taltal,-25.4,-70.4833,18.93,72,66,2.11,CL,1690135874
211,chemolgan,43.1897,76.5292,24.81,37,54,2.48,KZ,1690135875
212,nuuk,64.1835,-51.7216,13.34,76,20,3.09,GL,1690135875
213,lata,40.1629,-8.3327,22.26,58,49,4.94,PT,1690135875
214,santa luzia,-19.7697,-43.8514,23.5,51,44,4.31,BR,1690135875
215,sur,22.5667,59.5289,27.88,78,99,4.38,OM,1690135876
216,pangkalpinang,-2.1333,106.1333,25.49,83,16,2.92,ID,1690135876
217,mossel bay,-34.1831,22.146,10.96,72,83,5.28,ZA,1690135876
218,tymovskoye,50.8456,142.655,15.56,98,97,1.22,RU,1690135876
219,saint-joseph,-21.3667,55.6167,21.37,83,54,5.61,RE,1690135877
220,puerto maldonado,-12.6,-69.1833,33.22,49,40,3.09,PE,1690135877
221,dicle,38.3751,40.0722,29.83,24,0,3.25,TR,1690135877
222,maxixe,-23.8597,35.3472,20.9,83,20,6.17,MZ,1690135877
223,anadyr,64.75,177.4833,12.28,93,100,0.0,RU,1690135877
224,lodwar,3.1191,35.5973,31.29,36,39,4.38,KE,1690135877
225,banda aceh,5.5577,95.3222,26.79,74,72,6.52,ID,1690135835
226,port alfred,-33.5906,26.891,13.43,83,52,2.68,ZA,1690135878
227,skanor med falsterbo,55.4,12.85,16.68,92,100,9.23,SE,1690135878
228,male,4.1748,73.5089,28.43,76,64,3.73,MV,1690135878
229,tobelo,1.7284,128.0095,25.54,80,93,3.56,ID,1690135878
230,la'ie,21.6477,-157.9253,27.98,79,22,6.22,US,1690135879
231,lhokseumawe,5.1801,97.1507,25.69,90,72,1.71,ID,1690135646
232,tabas,33.5959,56.9244,34.3,12,0,4.73,IR,1690135879
233,bela,25.9333,81.9833,33.33,53,57,2.89,IN,1690135880
234,sao gabriel da cachoeira,-0.1303,-67.0892,29.5,75,68,0.98,BR,1690135881
235,westport,41.1415,-73.3579,31.72,47,0,4.63,US,1690135881
236,nagqu,31.5,92.0,5.05,93,100,1.38,CN,1690135882
237,san juan del sur,11.2529,-85.8705,30.24,68,69,8.52,NI,1690135882
238,ardmore,34.1743,-97.1436,33.59,43,0,2.57,US,1690135883
239,mu'minobod,38.1085,70.0285,26.35,21,0,1.81,TJ,1690135883
240,ilaro,6.8865,3.0205,23.01,96,100,3.4,NG,1690135883
241,tual,-5.6667,132.75,25.4,76,64,11.01,ID,1690135646
242,salinopolis,-0.6136,-47.3561,28.98,68,62,5.29,BR,1690135884
243,chui,-33.6971,-53.4616,17.61,47,85,3.46,UY,1690135884
244,qaqortoq,60.7167,-46.0333,11.98,77,100,2.19,GL,1690135884
245,bagepalli,13.7847,77.7931,22.2,87,100,8.49,IN,1690135884
246,namibe,-15.1961,12.1522,18.3,77,74,5.4,AO,1690135884
247,east ballina,-28.8667,153.5833,11.0,67,83,6.26,AU,1690135885
248,liberty,31.8335,-81.5004,32.06,66,20,2.06,US,1690135821
249,djambala,-2.5447,14.7533,24.41,57,100,1.33,CG,1690135885
250,motygino,58.1831,94.7592,16.22,94,34,0.74,RU,1690135885
251,kayangel,8.0823,134.7173,28.1,80,100,5.9,PW,1690135885
252,presque isle,46.6811,-68.0159,25.01,71,100,0.89,US,1690135885
253,saudarkrokur,65.7461,-19.6394,10.33,95,100,0.37,IS,1690135814
254,gulf shores,30.246,-87.7008,30.77,70,100,2.06,US,1690135672
255,bilibino,68.0546,166.4372,16.45,69,100,0.92,RU,1690135886
256,kirakira,-10.4544,161.9205,25.2,89,100,3.71,SB,1690135886
257,new norfolk,-42.7826,147.0587,9.84,87,95,1.66,AU,1690135886
258,katsuren-haebaru,26.3369,127.8719,29.01,83,75,3.09,JP,1690135886
259,waingapu,-9.6567,120.2641,23.19,81,83,6.62,ID,1690135887
260,ulanhot,46.0833,122.0833,17.43,89,100,3.18,CN,1690135887
261,ancud,-41.8697,-73.8203,6.38,79,73,3.37,CL,1690135887
262,xinzhi,36.4989,111.7047,29.02,37,45,1.41,CN,1690135887
263,snezhinsk,56.085,60.7314,16.09,65,100,2.68,RU,1690135887
264,dudinka,69.4058,86.1778,11.46,81,45,3.85,RU,1690135887
265,obo,5.3998,26.4869,23.92,72,49,1.59,CF,1690135887
266,quellon,-43.1167,-73.6167,8.14,76,75,2.57,CL,1690135888
267,balqash,46.8481,74.995,24.93,32,13,1.54,KZ,1690135888
268,ukwa,21.9667,80.4667,22.76,96,59,1.09,IN,1690135888
269,sacaba,20.5833,-89.9833,37.7,26,93,4.05,MX,1690135888
270,phalodi,27.1333,72.3667,34.19,52,99,3.93,IN,1690135888
271,hamilton,39.1834,-84.5333,30.4,52,40,3.6,US,1690135888
272,antofagasta,-23.65,-70.4,18.6,70,40,3.22,CL,1690135649
273,amal,59.051,12.7049,16.6,64,64,1.35,SE,1690135889
274,talcahuano,-36.7167,-73.1167,10.82,82,0,2.06,CL,1690135889
275,broken hill,-31.95,141.4333,5.6,84,4,5.25,AU,1690135889
276,qulsary,46.9531,54.0198,30.24,25,0,6.43,KZ,1690135889
277,ust-nera,64.5667,143.2,11.92,83,49,2.7,RU,1690135889
278,katima mulilo,-17.5,24.2667,19.35,28,0,1.47,NA,1690135890
279,catabola,-12.15,17.2833,19.66,26,16,1.0,AO,1690135890
280,hadibu,12.65,54.0333,25.28,80,100,9.31,YE,1690135890
